Address,Data
0x0302AF00,0x1FF10000
0x0302AF04,0x1FD41FE2
0x0302AF08,0x1FB61FC5
0x0302AF0C,0x1F981FA7
0x0302AF10,0x1F7B1F89
0x0302AF14,0x1F5D1F6C
0x0302AF18,0x1F3F1F4E
0x0302AF1C,0x1F221F31
0x0302AF20,0x1F041F13
0x0302AF24,0x1EE61EF5
0x0302AF28,0x1EC91ED8
0x0302AF2C,0x1EAB1EBA
0x0302AF30,0x1E8D1E9C
0x0302AF34,0x1E701E7F
0x0302AF38,0x1E521E61
0x0302AF3C,0x1E351E43
0x0302AF40,0x00001E26
0x0302AF44,0x1FF30000
0x0302AF48,0x1FDA1FE7
0x0302AF4C,0x1FC11FCE
0x0302AF50,0x1FA81FB5
0x0302AF54,0x1F8F1F9C
0x0302AF58,0x1F761F83
0x0302AF5C,0x1F5D1F6A
0x0302AF60,0x1F441F50
0x0302AF64,0x1F2B1F37
0x0302AF68,0x1F121F1E
0x0302AF6C,0x1EF91F05
0x0302AF70,0x1EE01EEC
0x0302AF74,0x1EC71ED3
0x0302AF78,0x1EAE1EBA
0x0302AF7C,0x1E941EA1
0x0302AF80,0x1E7B1E88
0x0302AF84,0x00001E6F
0x0302AF88,0x1FF60000
0x0302AF8C,0x1FE11FEC
0x0302AF90,0x1FCD1FD7
0x0302AF94,0x1FB91FC3
0x0302AF98,0x1FA41FAF
0x0302AF9C,0x1F901F9A
0x0302AFA0,0x1F7C1F86
0x0302AFA4,0x1F671F71
0x0302AFA8,0x1F531F5D
0x0302AFAC,0x1F3F1F49
0x0302AFB0,0x1F2A1F34
0x0302AFB4,0x1F161F20
0x0302AFB8,0x1F011F0C
0x0302AFBC,0x1EED1EF7
0x0302AFC0,0x1ED91EE3
0x0302AFC4,0x1EC41ECF
0x0302AFC8,0x00001EBA
0x0302AFCC,0x1FF80000
0x0302AFD0,0x1FE91FF0
0x0302AFD4,0x1FD91FE1
0x0302AFD8,0x1FCA1FD1
0x0302AFDC,0x1FBA1FC2
0x0302AFE0,0x1FAB1FB2
0x0302AFE4,0x1F9B1FA3
0x0302AFE8,0x1F8C1F93
0x0302AFEC,0x1F7C1F84
0x0302AFF0,0x1F6D1F74
0x0302AFF4,0x1F5D1F65
0x0302AFF8,0x1F4E1F55
0x0302AFFC,0x1F3E1F46
0x0302B000,0x1F2F1F36
0x0302B004,0x1F1F1F27
0x0302B008,0x1F101F17
0x0302B00C,0x00001F08
0x0302B010,0x1FFB0000
