Address,Data
0x0302AF00,0x1ff10000
0x0302AF04,0x1fd41fe2
0x0302AF08,0x1fb61fc5
0x0302AF0C,0x1f981fa7
0x0302AF10,0x1f7b1f89
0x0302AF14,0x1f5d1f6c
0x0302AF18,0x1f3f1f4e
0x0302AF1C,0x1f221f31
0x0302AF20,0x1f041f13
0x0302AF24,0x1ee61ef5
0x0302AF28,0x1ec91ed8
0x0302AF2C,0x1eab1eba
0x0302AF30,0x1e8d1e9c
0x0302AF34,0x1e701e7f
0x0302AF38,0x1e521e61
0x0302AF3C,0x1e351e43
0x0302AF40,0x00001e26
0x0302AF44,0x1ff30000
0x0302AF48,0x1fda1fe7
0x0302AF4C,0x1fc11fce
0x0302AF50,0x1fa81fb5
0x0302AF54,0x1f8f1f9c
0x0302AF58,0x1f761f83
0x0302AF5C,0x1f5d1f6a
0x0302AF60,0x1f441f50
0x0302AF64,0x1f2b1f37
0x0302AF68,0x1f121f1e
0x0302AF6C,0x1ef91f05
0x0302AF70,0x1ee01eec
0x0302AF74,0x1ec71ed3
0x0302AF78,0x1eae1eba
0x0302AF7C,0x1e941ea1
0x0302AF80,0x1e7b1e88
0x0302AF84,0x00001e6f
0x0302AF88,0x1ff60000
0x0302AF8C,0x1fe11fec
0x0302AF90,0x1fcd1fd7
0x0302AF94,0x1fb91fc3
0x0302AF98,0x1fa41faf
0x0302AF9C,0x1f901f9a
0x0302AFA0,0x1f7c1f86
0x0302AFA4,0x1f671f71
0x0302AFA8,0x1f531f5d
0x0302AFAC,0x1f3f1f49
0x0302AFB0,0x1f2a1f34
0x0302AFB4,0x1f161f20
0x0302AFB8,0x1f011f0c
0x0302AFBC,0x1eed1ef7
0x0302AFC0,0x1ed91ee3
0x0302AFC4,0x1ec41ecf
0x0302AFC8,0x00001eba
0x0302AFCC,0x1ff80000
0x0302AFD0,0x1fe91ff0
0x0302AFD4,0x1fd91fe1
0x0302AFD8,0x1fca1fd1
0x0302AFDC,0x1fba1fc2
0x0302AFE0,0x1fab1fb2
0x0302AFE4,0x1f9b1fa3
0x0302AFE8,0x1f8c1f93
0x0302AFEC,0x1f7c1f84
0x0302AFF0,0x1f6d1f74
0x0302AFF4,0x1f5d1f65
0x0302AFF8,0x1f4e1f55
0x0302AFFC,0x1f3e1f46
0x0302B000,0x1f2f1f36
0x0302B004,0x1f1f1f27
0x0302B008,0x1f101f17
0x0302B00C,0x00001f08
0x0302B010,0x1ffb0000
0x0302B014,0x1ff01ff6
